ipc,cores,cpus,freq,tps,p_pkg,bench,ht
3.536568952172914,1,1,800000,1164.6552872550415,4.38721594366486,tatp,0
3.524400436967621,1,2,800000,1160.647977977732,4.4793870485689995,tatp,1
6.958084289656,2,2,800000,2291.421365370252,5.472946879641205,tatp,0
6.95076759653886,2,4,800000,2289.0118477164638,6.260179215097388,tatp,1
10.253556097973814,3,3,800000,3376.679059327867,6.912296379116285,tatp,0
10.11929871761214,3,6,800000,3332.4657073458097,7.970390780042516,tatp,1
13.437268139766065,4,4,800000,4425.132267144638,8.393738661707298,tatp,0
13.108758571505494,4,8,800000,4316.948202091002,8.360032416603895,tatp,1
3.5302008875499524,1,1,1000000,1453.197712372946,4.488543409734678,tatp,0
3.511999120527001,1,2,1000000,1445.7050038723667,4.581877567988203,tatp,1
6.94376284174346,2,2,1000000,2858.3813211505462,5.6968282271248345,tatp,0
6.929385878203888,2,4,1000000,2852.4630827295377,6.346021264556166,tatp,1
10.229031675075415,3,3,1000000,4210.753411352333,7.1633229783677645,tatp,0
10.091913335050613,3,6,1000000,4154.309015014676,8.013018422813756,tatp,1
13.40017517613644,4,4,1000000,5516.1461150934765,8.637606418118745,tatp,0
13.076353618810547,4,8,1000000,5382.845840884543,8.599645909957376,tatp,1
3.523832822926959,1,1,1200000,1740.6915788124927,4.7241479807259985,tatp,0
3.4995978040863918,1,2,1200000,1728.7200423270876,4.818892906146234,tatp,1
6.9294413938308885,2,2,1200000,3422.9831227059167,6.132147126283148,tatp,0
6.908004159869087,2,4,1200000,3412.3936269762794,6.71346179250828,tatp,1
10.204507252177013,3,3,1200000,5040.789598253798,7.739518476160689,tatp,0
10.064527952488998,3,6,1200000,4971.6430750164645,8.469881375452067,tatp,1
13.363082212506985,4,4,1200000,6601.052275507472,9.321958344932781,tatp,0
13.043948666115195,4,8,1200000,6443.4077149862,9.217983439772931,tatp,1
3.5174647583039693,1,1,1400000,2027.1368865736936,5.0937104347024755,tatp,0
3.4871964876457753,1,2,1400000,2009.6930933418869,5.1895973006301315,tatp,1
6.915119945918349,2,2,1400000,3985.226770036393,6.777938411206399,tatp,0
6.886622441534147,2,4,1400000,3968.8034804565523,7.360914051162755,tatp,1
10.179982829278615,3,3,1400000,5866.787620032265,8.639025850480696,tatp,0
10.037142569927497,3,6,1400000,5784.467887351269,9.339923073101028,tatp,1
13.32598924887736,4,4,1400000,7679.850748386467,10.444041755149298,tatp,0
13.011543713420014,4,8,1400000,7498.633824396205,10.216491268953783,tatp,1
3.5110966936809938,1,1,1600000,2312.533635656557,5.596911549727688,tatp,0
3.474795171205148,1,2,1600000,2288.6241569167605,5.693154989026893,tatp,1
6.900798498005802,2,2,1600000,4545.112263141957,7.6332369159847495,tatp,0
6.865240723199143,2,4,1600000,4521.692643170371,8.286791292728516,tatp,1
10.155458406380156,3,3,1600000,6688.747476687691,9.859988079313052,tatp,0
10.009757187365988,3,6,1600000,6592.78345201904,10.622086950903396,tatp,1
13.288896285247677,4,4,1600000,8752.541533730498,12.001103961768097,tatp,0
12.979138760724762,4,8,1600000,8548.52416911444,11.596615660403282,tatp,1
3.504728629058018,1,1,1800000,2596.8818260610756,6.233432103865301,tatp,0
3.4623938547645317,1,2,1800000,2565.5132330517217,6.328730208923549,tatp,1
6.886477050093223,2,2,1800000,5102.639602022588,8.697077474708449,tatp,0
6.8438590048642,2,4,1800000,5071.061115117814,9.489506769414826,tatp,1
10.130933983481786,3,3,1800000,7506.6691682201745,11.400548140643444,tatp,0
9.982371804804291,3,6,1800000,7396.58976901964,12.31531644400289,tatp,1
13.251803321618045,4,4,1800000,9819.124631539627,13.990392277789192,tatp,0
